Bar, Note Type, CX, CY
1, Crotchet, 51, 35
1, Crotchet, 65, 30
1, Crotchet, 80, 35
1, Crotchet, 94, 30
1, semibreve, 117, 33
1, Crotchet, 157, 27
1, Crotchet, 172, 30
1, Crotchet, 186, 32
1, Crotchet, 201, 27
1, semibreve, 224, 30
1, Crotchet, 264, 30
1, Crotchet, 279, 25
1, Crotchet, 293, 30
1, Crotchet, 308, 25
1, Crotchet, 330, 27
1, Crotchet, 345, 30
1, Crotchet, 359, 32
1, Crotchet Rest, 373, 20
1, Crotchet, 396, 25
1, Crotchet, 411, 27
1, Crotchet, 425, 30
1, Crotchet, 440, 32
1, Minim, 463, 35
1, Minim, 485, 35
2, rests, 71, 68
2, rests, 127, 68
2, rests, 180, 68
2, rests, 233, 68
2, rests, 287, 68
2, rests, 353, 68
2, rests, 419, 68
2, rests, 477, 68
